time,gFx,gFy,gFz,TgF
1.984068385,-0.0076,0.3193,0.8368,0.880
1.986414322,-0.0161,0.3273,0.8200,0.867
1.989036458,0.0169,0.3369,0.8270,0.875
1.991185103,-0.0085,0.3545,0.7858,0.842
1.993510155,-0.0208,0.3598,0.8317,0.888
1.995872916,-0.0298,0.3659,0.8644,0.921
1.998253801,-0.0361,0.3733,0.8407,0.902
2.000743801,-0.0283,0.3752,0.8517,0.912
2.003232603,-0.0164,0.3742,0.8534,0.913
2.005761666,0.0020,0.3796,0.8434,0.905
2.007941145,0.0276,0.3908,0.8537,0.918
2.010591405,0.0555,0.4026,0.8700,0.938
2.012719374,0.0855,0.4138,0.8830,0.956
2.015102916,0.1153,0.4241,0.8942,0.972
2.01789901,0.1432,0.4182,0.9695,1.043
2.020448124,0.1383,0.3994,1.0369,1.101
2.022528905,0.0941,0.3847,1.0227,1.079
2.02481453,0.0479,0.3730,0.9902,1.042
2.027561405,0.0093,0.3679,0.9629,1.014
2.030288853,-0.0090,0.3667,0.9187,0.972
2.032218333,-0.0286,0.3628,0.8930,0.947
2.034451458,-0.0540,0.3642,0.8874,0.944
2.03695078,-0.0884,0.3689,0.8727,0.935
2.039297812,-0.1156,0.3755,0.8505,0.920
2.04164078,-0.1243,0.3803,0.8744,0.945
2.044292187,-0.1309,0.3825,0.8322,0.908
2.047329947,-0.1344,0.3843,0.7997,0.879
2.048925051,-0.1400,0.3801,0.7924,0.872
2.051148124,-0.1519,0.3782,0.7689,0.852
2.053787187,-0.1610,0.3801,0.7469,0.835
2.056567291,-0.1669,0.3869,0.7200,0.814
2.058460728,-0.1720,0.3955,0.6990,0.800
2.061151353,-0.1754,0.4060,0.6861,0.794
2.063493437,-0.1722,0.4119,0.6832,0.793
2.065662551,-0.1754,0.4143,0.6888,0.800
2.068053124,-0.1844,0.4168,0.7000,0.813
2.071490728,-0.1981,0.4187,0.7134,0.829
2.073741562,-0.2177,0.4158,0.7311,0.849
2.07574703,-0.2294,0.4192,0.7484,0.868
2.07772276,-0.2372,0.4234,0.7623,0.884
2.080163228,-0.2382,0.4324,0.7750,0.899
2.082544739,-0.2343,0.4417,0.7855,0.911
2.08853177,-0.2323,0.4532,0.7955,0.924
2.08872776,-0.2323,0.4659,0.8002,0.933
2.090783176,-0.2365,0.4732,0.8041,0.941
2.092572395,-0.2384,0.4820,0.7968,0.939
2.094952447,-0.2467,0.4874,0.7902,0.938
2.097080051,-0.2553,0.4935,0.7836,0.937
2.099555676,-0.2621,0.4966,0.7669,0.927
2.101904062,-0.2641,0.4961,0.7511,0.914
2.104433593,-0.2560,0.4971,0.7350,0.899
2.107781093,-0.2548,0.4971,0.7264,0.891
2.110252499,-0.2497,0.4988,0.7252,0.889
2.116598957,-0.2433,0.5010,0.7391,0.900
